HAGRID	Kingdom	Phylum	Class	Order	Family	Genus	Species	FemaleMaturity_days	Male maturity_days	GestationPerIncubation_days	Weaning_days	LitterPerClutchSize	LittersPerClutchesPerYear	InterlitterPerInterbirthInterval	Birth weight_g	Weaning weight_g	AdultWeight_g	GrowthRatePerDay	MaximumLong_Years	Source	SpecimenOrigin	SampleSize	DataQuality	IMRperYear	MRDT_yrs	MetabolicRate_W	BodyMass_g	Temperature_K
3	Animalia	Arthropoda	Branchiopoda	Diplostraca	Daphniidae	Daphnia	pulicaria												0.19		unknown	medium	acceptable					
5	Animalia	Arthropoda	Insecta	Diptera	Drosophilidae	Drosophila	melanogaster	7	7										0.3		captivity	large	acceptable	0.05	0.04			
6	Animalia	Arthropoda	Insecta	Hymenoptera	Apidae	Apis	mellifera												8	812	unknown	medium	acceptable					
8	Animalia	Arthropoda	Insecta	Hymenoptera	Formicidae	Cardiocondyla	obscurior												0.5	1293	captivity	medium	acceptable					
9	Animalia	Arthropoda	Insecta	Hymenoptera	Formicidae	Lasius	niger												28	411	unknown	medium	acceptable					
10	Animalia	Arthropoda	Insecta	Hymenoptera	Formicidae	Pheidole	dentata												0.4	1156	captivity	medium	questionable					
11	Animalia	Arthropoda	Insecta	Lepidoptera	Nymphalidae	Bicyclus	anynana	15	15										0.5	811	wild	medium	acceptable					
12	Animalia	Arthropoda	Malacostraca	Decapoda	Nephropidae	Homarus	americanus												100	2	wild	medium	acceptable					
15	Animalia	Chordata	Amphibia	Anura	Bombinatoridae	Bombina	bombina	1095	1095			190							20	485	captivity	medium	acceptable					
16	Animalia	Chordata	Amphibia	Anura	Bombinatoridae	Bombina	orientalis					148							15.8	451	captivity	large	acceptable					
17	Animalia	Chordata	Amphibia	Anura	Bombinatoridae	Bombina	variegata					73							29		captivity	medium	acceptable					
18	Animalia	Chordata	Amphibia	Anura	Bufonidae	Anaxyrus	americanus	910	910	8		6000		365			21.7667		36	525	captivity	medium	acceptable			0.00829	21.6	288
19	Animalia	Chordata	Amphibia	Anura	Bufonidae	Anaxyrus	boreas	1095	1095	6		5200							11.5	451	captivity	medium	acceptable					
20	Animalia	Chordata	Amphibia	Anura	Bufonidae	Anaxyrus	canorus	1825	1460	11		1750							15	503	wild	medium	acceptable					
21	Animalia	Chordata	Amphibia	Anura	Bufonidae	Anaxyrus	cognatus	730	730	4		11074							10.7	485	captivity	small	questionable					
22	Animalia	Chordata	Amphibia	Anura	Bufonidae	Anaxyrus	debilis					1300							12.4	451	captivity	small	acceptable					
23	Animalia	Chordata	Amphibia	Anura	Bufonidae	Anaxyrus	hemiophrys	730	730										13.3	451	captivity	small	acceptable					
24	Animalia	Chordata	Amphibia	Anura	Bufonidae	Anaxyrus	punctatus	730	730			1500							11.3	485	captivity	medium	acceptable					
25	Animalia	Chordata	Amphibia	Anura	Bufonidae	Anaxyrus	retiformis			2									15.3	451	captivity	small	acceptable					
26	Animalia	Chordata	Amphibia	Anura	Bufonidae	Anaxyrus	terrestris			3		3250					19.267		10	451	captivity	medium	acceptable			0.00698	19.2	288
27	Animalia	Chordata	Amphibia	Anura	Bufonidae	Atelopus	varius												10	451	captivity	large	acceptable					
28	Animalia	Chordata	Amphibia	Anura	Bufonidae	Bufo	bufo	1460	1460										40	451	captivity	medium	acceptable					
29	Animalia	Chordata	Amphibia	Anura	Bufonidae	Incilius	alvarius		1095			7750							15.4	485	captivity	medium	acceptable					
30	Animalia	Chordata	Amphibia	Anura	Bufonidae	Nectophrynoides	asperginis												5	990	captivity	medium	questionable					
31	Animalia	Chordata	Amphibia	Anura	Bufonidae	Peltophryne	lemur												10.7	451	captivity	small	acceptable					
32	Animalia	Chordata	Amphibia	Anura	Bufonidae	Peltophryne	peltocephala												20	485	captivity	small	acceptable					
33	Animalia	Chordata	Amphibia	Anura	Bufonidae	Pseudepidalea	viridis												11.9	451	captivity	large	acceptable					
34	Animalia	Chordata	Amphibia	Anura	Bufonidae	Rhaebo	blombergi												28.7	451	captivity	tiny	acceptable					
35	Animalia	Chordata	Amphibia	Anura	Bufonidae	Rhinella	arenarum														unknown	small	low					
36	Animalia	Chordata	Amphibia	Anura	Bufonidae	Rhinella	marina	365	365	2		10000					106.25		24.8	485	captivity	large	acceptable			0.0303	105	293
37	Animalia	Chordata	Amphibia	Anura	Bufonidae	Rhinella	schneideri												15.1	451	captivity	small	acceptable					
38	Animalia	Chordata	Amphibia	Anura	Ceratophryidae	Ceratophrys	aurita												12.8	451	captivity	small	acceptable					
39	Animalia	Chordata	Amphibia	Anura	Ceratophryidae	Ceratophrys	calcarata												15.9	451	captivity	tiny	acceptable					
40	Animalia	Chordata	Amphibia	Anura	Ceratophryidae	Ceratophrys	cornuta												10.3	485	captivity	small	acceptable					
41	Animalia	Chordata	Amphibia	Anura	Ceratophryidae	Ceratophrys	ornata												14.7	451	captivity	medium	acceptable					
42	Animalia	Chordata	Amphibia	Anura	Dendrobatidae	Dendrobates	auratus	365	365	12		6							20.5	448	captivity	large	acceptable					
43	Animalia	Chordata	Amphibia	Anura	Dendrobatidae	Dendrobates	leucomelas	75	75	12		7							11.5	451	captivity	large	acceptable					
44	Animalia	Chordata	Amphibia	Anura	Dendrobatidae	Dendrobates	tinctorius														unknown	large	low					
45	Animalia	Chordata	Amphibia	Anura	Dendrobatidae	Oophaga	histrionica												9.1	451	captivity	medium	acceptable					
46	Animalia	Chordata	Amphibia	Anura	Dendrobatidae	Oophaga	pumilio												7.5	451	captivity	medium	acceptable					
47	Animalia	Chordata	Amphibia	Anura	Dendrobatidae	Phyllobates	vittatus	304	304	15		14									unknown	medium	low					
48	Animalia	Chordata	Amphibia	Anura	Dicroglossidae	Hoplobatrachus	occipitalis										48.1		10.9	451	captivity	small	acceptable					
49	Animalia	Chordata	Amphibia	Anura	Hylidae	Acris	blanchardi										1				unknown	small	low					
50	Animalia	Chordata	Amphibia	Anura	Hylidae	Acris	crepitans												4.9	485	captivity	small	questionable					
51	Animalia	Chordata	Amphibia	Anura	Hylidae	Agalychnis	callidryas														unknown	large	low					
52	Animalia	Chordata	Amphibia	Anura	Hylidae	Agalychnis	spurrelli												5.5	451	captivity	tiny	acceptable					
53	Animalia	Chordata	Amphibia	Anura	Hylidae	Diaglena	spatulata												12.8	451	captivity	tiny	acceptable					
54	Animalia	Chordata	Amphibia	Anura	Hylidae	Hyla	arborea												22	451	captivity	small	acceptable					
55	Animalia	Chordata	Amphibia	Anura	Hylidae	Hyla	chrysoscelis	730	547	21		35							7.8	485	captivity	medium	acceptable					
56	Animalia	Chordata	Amphibia	Anura	Hylidae	Hyla	cinerea	730	730			1222									unknown	medium	low					
57	Animalia	Chordata	Amphibia	Anura	Hylidae	Hyla	gratiosa					2250							12.5	451	captivity	medium	acceptable					
58	Animalia	Chordata	Amphibia	Anura	Hylidae	Hyla	japonica	1278	1278			920							8.9	451	captivity	small	acceptable					
59	Animalia	Chordata	Amphibia	Anura	Hylidae	Hyla	squirella			1		1000	1						8.5	485	captivity	medium	acceptable					
60	Animalia	Chordata	Amphibia	Anura	Hylidae	Hyla	versicolor	730	730	4		1800					7.2		7.8	543	captivity	medium	acceptable			0.00433	6.97	290.5
61	Animalia	Chordata	Amphibia	Anura	Hylidae	Hypsiboas	rosenbergi					775									unknown	small	low					
62	Animalia	Chordata	Amphibia	Anura	Hylidae	Litoria	caerulea					1100							20	451	captivity	large	acceptable					
63	Animalia	Chordata	Amphibia	Anura	Hylidae	Osteopilus	septentrionalis	255	120	1		1500							12.9	451	captivity	medium	acceptable					
64	Animalia	Chordata	Amphibia	Anura	Hylidae	Osteopilus	vastus												6.6	451	captivity	small	questionable					
65	Animalia	Chordata	Amphibia	Anura	Hylidae	Pachymedusa	dacnicolor												8.7	451	captivity	small	acceptable					
66	Animalia	Chordata	Amphibia	Anura	Hylidae	Phyllomedusa	bicolor												10.3	451	captivity	medium	acceptable					
67	Animalia	Chordata	Amphibia	Anura	Hylidae	Pseudacris	crucifer	912	912	10		700					4				unknown	small	low			0.00105	0.9	292
68	Animalia	Chordata	Amphibia	Anura	Hylidae	Pseudis	paradoxa												11	451	captivity	small	acceptable					
69	Animalia	Chordata	Amphibia	Anura	Hylidae	Smilisca	baudinii					2480							6.3	485	captivity	small	acceptable					
70	Animalia	Chordata	Amphibia	Anura	Hylidae	Smilisca	fodiens												5.1	485	captivity	small	acceptable					
71	Animalia	Chordata	Amphibia	Anura	Hylidae	Smilisca	phaeota					2000							4.1	485	captivity	small	acceptable					
72	Animalia	Chordata	Amphibia	Anura	Hylidae	Trachycephalus	venulosus												10.5	451	captivity	small	acceptable					
73	Animalia	Chordata	Amphibia	Anura	Leiopelmatidae	Ascaphus	truei			32		62							14	525	wild	medium	acceptable					
74	Animalia	Chordata	Amphibia	Anura	Leptodactylidae	Leptodactylus	pentadactylus												18.8	451	captivity	medium	acceptable					
75	Animalia	Chordata	Amphibia	Anura	Mantellidae	Mantella	aurantiaca			14		40							10.9	451	captivity	large	acceptable					
76	Animalia	Chordata	Amphibia	Anura	Mantellidae	Mantella	expectata	365	365										3	1060	wild	small	questionable					
77	Animalia	Chordata	Amphibia	Anura	Microhylidae	Gastrophryne	carolinensis	547	365	1		722							6.8	485	captivity	small	acceptable					
78	Animalia	Chordata	Amphibia	Anura	Microhylidae	Kaloula	pulchra												11	485	captivity	medium	acceptable					
79	Animalia	Chordata	Amphibia	Anura	Microhylidae	Microhyla	ornata	547	182						1125				5	964	wild	small	acceptable					
80	Animalia	Chordata	Amphibia	Anura	Microhylidae	Phrynomantis	bifasciatus												10.3	451	captivity	medium	acceptable					
81	Animalia	Chordata	Amphibia	Anura	Microhylidae	Scaphiophryne	gottlebei	365	365										2	1060	wild	small	questionable					
82	Animalia	Chordata	Amphibia	Anura	Pelobatidae	Pelobates	fuscus			8		1740							11	485	captivity	medium	acceptable					
83	Animalia	Chordata	Amphibia	Anura	Petropedetidae	Conraua	goliath												5.9	451	captivity	small	acceptable					
84	Animalia	Chordata	Amphibia	Anura	Pipidae	Pipa	pipa												7.7	485	captivity	medium	acceptable					
85	Animalia	Chordata	Amphibia	Anura	Pipidae	Xenopus	laevis	183		2							130		30.3	451	captivity	large	acceptable			0.012	63.6	288
86	Animalia	Chordata	Amphibia	Anura	Pyxicephalidae	Pyxicephalus	adspersus												45	451	captivity	medium	acceptable					
87	Animalia	Chordata	Amphibia	Anura	Pyxicephalidae	Tomopterna	delalandii												11.3	451	captivity	small	acceptable					
88	Animalia	Chordata	Amphibia	Anura	Ranidae	Lithobates	catesbeianus	1277	730	4							54.4		16	485	captivity	medium	acceptable			0.0134	51.2	288
89	Animalia	Chordata	Amphibia	Anura	Ranidae	Lithobates	clamitans	730	730			4000							10	528	captivity	medium	acceptable					
90	Animalia	Chordata	Amphibia	Anura	Ranidae	Lithobates	pipiens	730	365			4146					29.0222		9	525	wild	medium	acceptable			0.00576	21.6	289.78
91	Animalia	Chordata	Amphibia	Anura	Ranidae	Lithobates	septentrionalis	730	547			2250							6	528	wild	medium	acceptable					
92	Animalia	Chordata	Amphibia	Anura	Ranidae	Lithobates	sylvaticus	912	547			900					7.88		5		unknown	medium	questionable			0.00416	7.8	289.8
93	Animalia	Chordata	Amphibia	Anura	Ranidae	Lithobates	virgatipes		730										6.2	485	captivity	small	acceptable					
94	Animalia	Chordata	Amphibia	Anura	Ranidae	Pelophylax	lessonae					2420							6	525	wild	medium	acceptable					
95	Animalia	Chordata	Amphibia	Anura	Ranidae	Pelophylax	nigromaculatus	730	730			2800							15	651	wild	medium	acceptable					
96	Animalia	Chordata	Amphibia	Anura	Ranidae	Pelophylax	perezi	912	912	6									6.8	650	captivity	small	acceptable					
97	Animalia	Chordata	Amphibia	Anura	Ranidae	Pelophylax	ridibundus	1460	1095			6835							11	525	wild	medium	acceptable					
98	Animalia	Chordata	Amphibia	Anura	Ranidae	Rana	amurensis	1640	1640			2125							9	525	wild	medium	acceptable					
99	Animalia	Chordata	Amphibia	Anura	Ranidae	Rana	arvalis					1750							11	525	wild	medium	acceptable					
100	Animalia	Chordata	Amphibia	Anura	Ranidae	Rana	aurora												15	503	wild	medium	acceptable					
101	Animalia	Chordata	Amphibia	Anura	Ranidae	Rana	esculenta												12	525	wild	medium	acceptable					
102	Animalia	Chordata	Amphibia	Anura	Ranidae	Rana	iberica					318							8	525	wild	medium	acceptable					
103	Animalia	Chordata	Amphibia	Anura	Ranidae	Rana	macrocnemis	912	912			2040							5	525	wild	medium	acceptable					
104	Animalia	Chordata	Amphibia	Anura	Ranidae	Rana	temporaria	1095	1095			2585							27		unknown	medium	acceptable					
105	Animalia	Chordata	Amphibia	Anura	Scaphiopodidae	Scaphiopus	couchii					3000							6.7	485	captivity	small	questionable					
106	Animalia	Chordata	Amphibia	Anura	Scaphiopodidae	Scaphiopus	holbrookii	730	730	8		3872							12.3	485	captivity	small	acceptable					
107	Animalia	Chordata	Amphibia	Anura	Scaphiopodidae	Spea	intermontana			3		676							20	437	wild	medium	acceptable					
108	Animalia	Chordata	Amphibia	Caudata	Ambystomatidae	Ambystoma	gracile	730	730			150							10.2	485	captivity	small	acceptable					
109	Animalia	Chordata	Amphibia	Caudata	Ambystomatidae	Ambystoma	mabeei												8.8	485	captivity	small	acceptable					
110	Animalia	Chordata	Amphibia	Caudata	Ambystomatidae	Ambystoma	macrodactylum	730	730	40		250							10	437	wild	medium	acceptable					
111	Animalia	Chordata	Amphibia	Caudata	Ambystomatidae	Ambystoma	maculatum	1095	730			125					12.84		32		unknown	medium	acceptable			0.005	12.8	290
112	Animalia	Chordata	Amphibia	Caudata	Ambystomatidae	Ambystoma	mexicanum	548	548	18									17	451	captivity	large	acceptable					
113	Animalia	Chordata	Amphibia	Caudata	Ambystomatidae	Ambystoma	opacum	1296	1113			100							11.3	485	captivity	small	acceptable					
114	Animalia	Chordata	Amphibia	Caudata	Ambystomatidae	Ambystoma	rosaceum												14.4	451	captivity	small	acceptable					
115	Animalia	Chordata	Amphibia	Caudata	Ambystomatidae	Ambystoma	talpoideum	730	730			350							9	749	unknown	medium	acceptable					
116	Animalia	Chordata	Amphibia	Caudata	Ambystomatidae	Ambystoma	texanum			35		625							13.8	485	captivity	tiny	acceptable					
117	Animalia	Chordata	Amphibia	Caudata	Ambystomatidae	Ambystoma	tigrinum	1460	1460	28		37					9.402		25	485	captivity	medium	acceptable			0.00196	3.21	291
118	Animalia	Chordata	Amphibia	Caudata	Ambystomatidae	Dicamptodon	ensatus			150		85							16.9	451	captivity	tiny	acceptable					
119	Animalia	Chordata	Amphibia	Caudata	Amphiumidae	Amphiuma	means	1460	1095	150		200					200.967		27	485	captivity	small	acceptable			0.00904	199	288
120	Animalia	Chordata	Amphibia	Caudata	Amphiumidae	Amphiuma	tridactylum			135		200							15.9	485	captivity	small	acceptable					
121	Animalia	Chordata	Amphibia	Caudata	Cryptobranchidae	Andrias	davidianus			55		500							19.9	485	captivity	small	questionable					
122	Animalia	Chordata	Amphibia	Caudata	Cryptobranchidae	Andrias	japonicus	1825	1825	60		500							55	485	captivity	small	acceptable					
123	Animalia	Chordata	Amphibia	Caudata	Cryptobranchidae	Cryptobranchus	alleganiensis	1825	1825	72		275					358.1		29	528	wild	medium	acceptable			0.0253	358	288
124	Animalia	Chordata	Amphibia	Caudata	Hynobiidae	Hynobius	boulengeri					32							11.9	485	captivity	small	acceptable					
125	Animalia	Chordata	Amphibia	Caudata	Hynobiidae	Hynobius	leechii												7.1	451	captivity	small	acceptable					
126	Animalia	Chordata	Amphibia	Caudata	Hynobiidae	Hynobius	nebulosus												14.2	485	captivity	medium	acceptable					
127	Animalia	Chordata	Amphibia	Caudata	Hynobiidae	Hynobius	retardatus												12.9	485	captivity	small	acceptable					
128	Animalia	Chordata	Amphibia	Caudata	Hynobiidae	Onychodactylus	fischeri												17	525	wild	medium	acceptable					
129	Animalia	Chordata	Amphibia	Caudata	Hynobiidae	Onychodactylus	japonicus					17							14.2	451	captivity	small	acceptable					
130	Animalia	Chordata	Amphibia	Caudata	Hynobiidae	Paradactylodon	mustersi												11	451	captivity	small	acceptable					
131	Animalia	Chordata	Amphibia	Caudata	Hynobiidae	Salamandrella	keyserlingii			23		70							8	525	wild	medium	acceptable					
132	Animalia	Chordata	Amphibia	Caudata	Plethodontidae	Aneides	aeneus	912	912	82		21	2								unknown	tiny	low					
133	Animalia	Chordata	Amphibia	Caudata	Plethodontidae	Aneides	lugubris	1095	1095			14.5									unknown	small	low					
134	Animalia	Chordata	Amphibia	Caudata	Plethodontidae	Bolitoglossa	dofleini												6.9	451	captivity	small	acceptable					
135	Animalia	Chordata	Amphibia	Caudata	Plethodontidae	Bolitoglossa	mexicana												12.2	451	captivity	small	acceptable					
136	Animalia	Chordata	Amphibia	Caudata	Plethodontidae	Desmognathus	monticola	1642	1277	45		25							17.7	485	captivity	tiny	acceptable					
137	Animalia	Chordata	Amphibia	Caudata	Plethodontidae	Desmognathus	ochrophaeus	1280	1280			16					0.6		19.8	485	captivity	tiny	acceptable	0.3				
138	Animalia	Chordata	Amphibia	Caudata	Plethodontidae	Desmognathus	quadramaculatus	1280	1280			25					14.34		15	485	captivity	small	acceptable			0.00411	14.1	288
139	Animalia	Chordata	Amphibia	Caudata	Plethodontidae	Desmognathus	welteri	1642	1642			26							20	485	captivity	small	acceptable					
140	Animalia	Chordata	Amphibia	Caudata	Plethodontidae	Ensatina	eschscholtzii	1278	1278	138		14									unknown	tiny	low					
141	Animalia	Chordata	Amphibia	Caudata	Plethodontidae	Eurycea	lucifuga	1095	1095	13		73							9.1	451	captivity	small	acceptable					
142	Animalia	Chordata	Amphibia	Caudata	Plethodontidae	Eurycea	rathbuni												10.3	451	captivity	small	acceptable					
143	Animalia	Chordata	Amphibia	Caudata	Plethodontidae	Eurycea	spelaea												9.9	485	captivity	small	acceptable					
144	Animalia	Chordata	Amphibia	Caudata	Plethodontidae	Eurycea	wilderae	1278	1278			32							8	485	captivity	small	acceptable					
145	Animalia	Chordata	Amphibia	Caudata	Plethodontidae	Gyrinophilus	palleucus												18.5	485	captivity	small	acceptable					
146	Animalia	Chordata	Amphibia	Caudata	Plethodontidae	Gyrinophilus	porphyriticus	1460	1460			61							18.5	485	captivity	small	acceptable					
147	Animalia	Chordata	Amphibia	Caudata	Plethodontidae	Hemidactylium	scutatum	912	912			30							8.9	485	captivity	small	acceptable					
148	Animalia	Chordata	Amphibia	Caudata	Plethodontidae	Phaeognathus	hubrichti	2008				9							19.7	485	captivity	small	acceptable					
149	Animalia	Chordata	Amphibia	Caudata	Plethodontidae	Plethodon	cinereus	730	730			8					0.5		25	528	wild	medium	acceptable			0.000099	0.76	278.5
150	Animalia	Chordata	Amphibia	Caudata	Plethodontidae	Plethodon	dunni	1095	1095	70		9.4							11	485	captivity	small	acceptable					
151	Animalia	Chordata	Amphibia	Caudata	Plethodontidae	Plethodon	elongatus					7							13.3	485	captivity	small	acceptable					
152	Animalia	Chordata	Amphibia	Caudata	Plethodontidae	Plethodon	glutinosus	910	910			21					4.2		20.1	485	captivity	small	acceptable			0.00191	4.2	288
153	Animalia	Chordata	Amphibia	Caudata	Plethodontidae	Plethodon	jordani	1825	1095										19.8	485	captivity	tiny	acceptable					
154	Animalia	Chordata	Amphibia	Caudata	Plethodontidae	Plethodon	vehiculum												11.1	485	captivity	small	acceptable					
155	Animalia	Chordata	Amphibia	Caudata	Plethodontidae	Plethodon	yonahlossee	1095	1095												unknown	tiny	low					
156	Animalia	Chordata	Amphibia	Caudata	Plethodontidae	Pseudotriton	montanus	1643	1095										15.1	485	captivity	small	acceptable					
157	Animalia	Chordata	Amphibia	Caudata	Plethodontidae	Pseudotriton	ruber	1825	1460	75		80							20.1	485	captivity	small	acceptable					
158	Animalia	Chordata	Amphibia	Caudata	Plethodontidae	Speleomantes	italicus	1278	1278	304		10							10.6	485	captivity	small	acceptable					
159	Animalia	Chordata	Amphibia	Caudata	Proteidae	Necturus	maculosus	2190	1825	50		68							34		unknown	medium	acceptable					
160	Animalia	Chordata	Amphibia	Caudata	Proteidae	Necturus	punctatus	1825	1825			30									unknown	tiny	low					
161	Animalia	Chordata	Amphibia	Caudata	Proteidae	Proteus	anguinus	4124		133		35		4562			17		102	934	wild	medium	acceptable		999			
162	Animalia	Chordata	Amphibia	Caudata	Salamandridae	Calotriton	asper												26	525	wild	medium	acceptable					
163	Animalia	Chordata	Amphibia	Caudata	Salamandridae	Cynops	ensicauda												17.9	451	captivity	medium	acceptable					
164	Animalia	Chordata	Amphibia	Caudata	Salamandridae	Cynops	pyrrhogaster	913	913	20		200							25	485	captivity	medium	acceptable					
165	Animalia	Chordata	Amphibia	Caudata	Salamandridae	Ichthyosaura	alpestris	1460	1095										15	451	captivity	small	acceptable					
166	Animalia	Chordata	Amphibia	Caudata	Salamandridae	Lissotriton	boscai					160							8	525	wild	medium	acceptable					
167	Animalia	Chordata	Amphibia	Caudata	Salamandridae	Lissotriton	vulgaris	1095	730			180							20	525	captivity	medium	acceptable					
168	Animalia	Chordata	Amphibia	Caudata	Salamandridae	Notophthalmus	perstriatus	487	487										12.9	485	captivity	large	acceptable					
169	Animalia	Chordata	Amphibia	Caudata	Salamandridae	Notophthalmus	viridescens	2000	2000										25	website feedback	captivity	medium	acceptable					
170	Animalia	Chordata	Amphibia	Caudata	Salamandridae	Pachytriton	brevipes												6.5	451	captivity	small	acceptable					
171	Animalia	Chordata	Amphibia	Caudata	Salamandridae	Paramesotriton	chinensis												10.3	485	captivity	tiny	acceptable					
172	Animalia	Chordata	Amphibia	Caudata	Salamandridae	Pleurodeles	poireti												14	451	captivity	small	acceptable					
173	Animalia	Chordata	Amphibia	Caudata	Salamandridae	Pleurodeles	waltl			13		725							19.5	451	captivity	medium	acceptable					
174	Animalia	Chordata	Amphibia	Caudata	Salamandridae	Salamandra	atra												17	525	wild	medium	acceptable					
175	Animalia	Chordata	Amphibia	Caudata	Salamandridae	Salamandra	salamandra										19.1		24	451	captivity	medium	acceptable			0.00857	19.1	288
176	Animalia	Chordata	Amphibia	Caudata	Salamandridae	Taricha	granulosa	1278	1278	23							12.32				unknown	small	low			0.00518	12.2	288
177	Animalia	Chordata	Amphibia	Caudata	Salamandridae	Taricha	rivularis	1825	1825	18		10									unknown	tiny	low					
178	Animalia	Chordata	Amphibia	Caudata	Salamandridae	Taricha	torosa	1095	1095	45		122			0.45				21.8	451	captivity	small	acceptable					
179	Animalia	Chordata	Amphibia	Caudata	Salamandridae	Triturus	carnifex												11	525	wild	medium	acceptable					
180	Animalia	Chordata	Amphibia	Caudata	Salamandridae	Triturus	cristatus			16		225							28	525	captivity	medium	acceptable					
181	Animalia	Chordata	Amphibia	Caudata	Salamandridae	Triturus	marmoratus	1460	1460										25	525	captivity	small	acceptable					
182	Animalia	Chordata	Amphibia	Caudata	Salamandridae	Tylototriton	verrucosus	1460	1460			43							11	525	wild	medium	acceptable					
183	Animalia	Chordata	Amphibia	Caudata	Sirenidae	Siren	intermedia	730	730	60		350							25.7	451	captivity	medium	acceptable					
184	Animalia	Chordata	Amphibia	Caudata	Sirenidae	Siren	lacertina					500							25	485	captivity	small	acceptable					
185	Animalia	Chordata	Amphibia	Gymnophiona	Caeciliidae	Dermophis	mexicanus												13.8	451	captivity	small	acceptable					
186	Animalia	Chordata	Amphibia	Gymnophiona	Caeciliidae	Typhlonectes	compressicauda												4.9	485	captivity	small	acceptable					
187	Animalia	Chordata	Amphibia	Gymnophiona	Caeciliidae	Typhlonectes	natans														unknown	medium	low					
188	Animalia	Chordata	Amphibia	Gymnophiona	Ichthyophiidae	Ichthyophis	kohtaoensis												7.3	451	captivity	small	acceptable					
190	Animalia	Chordata	Aves	Accipitriformes	Accipitridae	Accipiter	cooperii	730	730	24		4	1		28		526.64	0.212	20.3	427	wild	medium	acceptable					
191	Animalia	Chordata	Aves	Accipitriformes	Accipitridae	Accipiter	gentilis	365	730	33		3	1				1044.2	0.225	22	450	wild	medium	acceptable					
192	Animalia	Chordata	Aves	Accipitriformes	Accipitridae	Accipiter	nisus	365	365								237.5	0.258	20.2	450	wild	medium	acceptable			0.9516	135	
193	Animalia	Chordata	Aves	Accipitriformes	Accipitridae	Accipiter	striatus	365	365	34		4	1				135		19.9	427	wild	medium	acceptable					
194	Animalia	Chordata	Aves	Accipitriformes	Accipitridae	Aegypius	monachus										9625		39	1	captivity	medium	acceptable					
195	Animalia	Chordata	Aves	Accipitriformes	Accipitridae	Aquila	adalberti										3000		44.5	575	captivity	small	acceptable					
196	Animalia	Chordata	Aves	Accipitriformes	Accipitridae	Aquila	audax										3466		40	1	captivity	small	acceptable					
197	Animalia	Chordata	Aves	Accipitriformes	Accipitridae	Aquila	chrysaetos	1460	1460	40		2	1		110.6		4800	0.126	48	437	captivity	medium	acceptable			4.9929	3000	
198	Animalia	Chordata	Aves	Accipitriformes	Accipitridae	Aquila	fasciata										2000	0.154	20	1	captivity	small	acceptable					
199	Animalia	Chordata	Aves	Accipitriformes	Accipitridae	Aquila	heliaca										3262		56	1	captivity	medium	acceptable					
200	Animalia	Chordata	Aves	Accipitriformes	Accipitridae	Aquila	nipalensis										2745.5		41	1	captivity	small	acceptable					
201	Animalia	Chordata	Aves	Accipitriformes	Accipitridae	Aquila	pomarina										1370		26.1	1	wild	medium	acceptable					
202	Animalia	Chordata	Aves	Accipitriformes	Accipitridae	Aquila	rapax										1996.1	0.093	40.3	575	captivity	medium	acceptable					
203	Animalia	Chordata	Aves	Accipitriformes	Accipitridae	Butastur	indicus										415		8.5	1	wild	medium	acceptable					
204	Animalia	Chordata	Aves	Accipitriformes	Accipitridae	Buteo	buteo	730	730								1012	0.189	28.8	450	wild	medium	acceptable					
205	Animalia	Chordata	Aves	Accipitriformes	Accipitridae	Buteo	jamaicensis	730	730	31		3	1		57.6		1362	0.188	30.7	427	wild	large	acceptable					
206	Animalia	Chordata	Aves	Accipitriformes	Accipitridae	Buteo	lagopus	730	730	29		5	1		41.62		980.64		18.8	450	wild	small	acceptable					
207	Animalia	Chordata	Aves	Accipitriformes	Accipitridae	Buteo	lineatus	365	365	33		3.5	1		35		607		22.4	427	wild	medium	acceptable			2.11	658	
208	Animalia	Chordata	Aves	Accipitriformes	Accipitridae	Buteo	platypterus	365	365	25		2.5	1		28		454	0.271	18.3	577	wild	small	acceptable					
209	Animalia	Chordata	Aves	Accipitriformes	Accipitridae	Buteo	regalis	730	730	32		3	1		51.6		1500	0.171	23.7	427	wild	medium	acceptable					
210	Animalia	Chordata	Aves	Accipitriformes	Accipitridae	Buteo	rufinus										1174.5				unknown	small	low					
211	Animalia	Chordata	Aves	Accipitriformes	Accipitridae	Buteo	solitarius			38		1			35		505		17	445	wild	medium	acceptable					
212	Animalia	Chordata	Aves	Accipitriformes	Accipitridae	Buteo	swainsoni	730	730	31		3	1		39.4		980.64	0.158	24.9	427	wild	medium	acceptable					
213	Animalia	Chordata	Aves	Accipitriformes	Accipitridae	Buteogallus	anthracinus	730	730	38		1.5	1				837		13.5	1	wild	medium	acceptable					
214	Animalia	Chordata	Aves	Accipitriformes	Accipitridae	Circaetus	cinereus										2048	0.037			unknown	tiny	low					
215	Animalia	Chordata	Aves	Accipitriformes	Accipitridae	Circaetus	gallicus	1095	1095								1699.5		17.3	1	wild	medium	acceptable					
216	Animalia	Chordata	Aves	Accipitriformes	Accipitridae	Circus	aeruginosus	730	730								711.5		20.1	450	wild	medium	acceptable					
217	Animalia	Chordata	Aves	Accipitriformes	Accipitridae	Circus	cyaneus	365	365	31		4.4	1		23.8		392	0.25	17.1	450	wild	medium	acceptable					
218	Animalia	Chordata	Aves	Accipitriformes	Accipitridae	Circus	macrourus										388.5		13.5	1	wild	medium	acceptable					
